"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
HELEN KELLER HOSPITAL,010019,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
HELEN KELLER HOSPITAL,010019,AL,READM-30-COPD-HRRP,336,,1.0490,18.1202,17.2731,65,07/01/2017,12/01/2019
HELEN KELLER HOSPITAL,010019,AL,READM-30-PN-HRRP,328,,0.9816,14.7211,14.9964,47,07/01/2017,12/01/2019
HELEN KELLER HOSPITAL,010019,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
HELEN KELLER HOSPITAL,010019,AL,READM-30-HF-HRRP,308,,0.9446,19.0485,20.1664,55,07/01/2017,12/01/2019
HELEN KELLER HOSPITAL,010019,AL,READM-30-HIP-KNEE-HRRP,306,,1.3281,4.8814,3.6754,20,07/01/2017,12/01/2019
DALE MEDICAL CENTER,010021,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
DALE MEDICAL CENTER,010021,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
DALE MEDICAL CENTER,010021,AL,READM-30-COPD-HRRP,N/A,,0.9515,17.9485,18.8640,Too Few to Report,07/01/2017,12/01/2019
DALE MEDICAL CENTER,010021,AL,READM-30-PN-HRRP,68,,1.0394,15.1945,14.6190,13,07/01/2017,12/01/2019
DALE MEDICAL CENTER,010021,AL,READM-30-HF-HRRP,N/A,,0.9675,19.8475,20.5134,Too Few to Report,07/01/2017,12/01/2019
DALE MEDICAL CENTER,010021,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-COPD-HRRP,N/A,,0.9833,16.4501,16.7293,Too Few to Report,07/01/2017,12/01/2019
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-AMI-HRRP,242,,1.0607,17.1252,16.1450,45,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HIP-KNEE-HRRP,403,,1.0052,4.1950,4.1732,17,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-CABG-HRRP,N/A,,0.9420,10.9558,11.6304,Too Few to Report,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HF-HRRP,432,,0.8857,19.8961,22.4649,78,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-COPD-HRRP,172,,1.0337,22.6491,21.9107,42,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-PN-HRRP,175,,1.0345,18.5879,17.9687,35,07/01/2017,12/01/2019
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0525,3.8922,3.6980,Too Few to Report,07/01/2017,12/01/2019
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-CABG-HRRP,135,,1.1290,15.0599,13.3394,23,07/01/2017,12/01/2019
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-AMI-HRRP,196,,1.1382,17.9662,15.7851,43,07/01/2017,12/01/2019
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HF-HRRP,404,,1.0710,23.1244,21.5910,98,07/01/2017,12/01/2019
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-COPD-HRRP,213,,1.0043,19.5409,19.4578,42,07/01/2017,12/01/2019
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-PN-HRRP,352,,1.0460,18.1055,17.3092,67,07/01/2017,12/01/2019
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-HIP-KNEE-HRRP,542,,1.0654,4.2214,3.9623,24,07/01/2017,12/01/2019
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-CABG-HRRP,N/A,,0.8270,8.8493,10.7003,Too Few to Report,07/01/2017,12/01/2019
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-COPD-HRRP,339,,1.0451,20.6614,19.7698,74,07/01/2017,12/01/2019
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-AMI-HRRP,185,,1.0151,14.6709,14.4534,28,07/01/2017,12/01/2019
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-HF-HRRP,561,,1.0445,21.7732,20.8451,125,07/01/2017,12/01/2019
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-PN-HRRP,356,,0.9886,16.2384,16.4249,57,07/01/2017,12/01/2019
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-AMI-HRRP,276,,1.0540,18.4133,17.4699,54,07/01/2017,12/01/2019
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HIP-KNEE-HRRP,132,,1.2634,5.1647,4.0877,11,07/01/2017,12/01/2019
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HF-HRRP,739,,1.0502,23.7749,22.6392,179,07/01/2017,12/01/2019
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-COPD-HRRP,190,,1.0303,20.6912,20.0826,42,07/01/2017,12/01/2019
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-CABG-HRRP,266,,1.0823,15.5050,14.3263,43,07/01/2017,12/01/2019
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-PN-HRRP,446,,1.0571,18.1578,17.1773,85,07/01/2017,12/01/2019
COMMUNITY HOSPITAL INC,010034,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HF-HRRP,N/A,,0.9849,17.2731,17.5373,Too Few to Report,07/01/2017,12/01/2019
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
COMMUNITY HOSPITAL INC,010034,AL,READM-30-COPD-HRRP,N/A,,0.9549,15.6201,16.3580,Too Few to Report,07/01/2017,12/01/2019
COMMUNITY HOSPITAL INC,010034,AL,READM-30-PN-HRRP,N/A,,0.9889,14.7965,14.9630,Too Few to Report,07/01/2017,12/01/2019
COMMUNITY HOSPITAL INC,010034,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-PN-HRRP,437,,1.1260,17.5210,15.5604,85,07/01/2017,12/01/2019
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9242,3.9289,4.2514,Too Few to Report,07/01/2017,12/01/2019
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-AMI-HRRP,96,,0.9968,14.7794,14.8273,14,07/01/2017,12/01/2019
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HF-HRRP,477,,1.0429,20.8135,19.9571,102,07/01/2017,12/01/2019
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-COPD-HRRP,232,,1.0390,18.3935,17.7024,46,07/01/2017,12/01/2019
ANDALUSIA HEALTH,010036,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
ANDALUSIA HEALTH,010036,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
ANDALUSIA HEALTH,010036,AL,READM-30-COPD-HRRP,197,,0.9477,18.6415,19.6694,32,07/01/2017,12/01/2019
ANDALUSIA HEALTH,010036,AL,READM-30-HF-HRRP,260,,0.9757,21.3922,21.9260,54,07/01/2017,12/01/2019
ANDALUSIA HEALTH,010036,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0356,5.0273,4.8544,Too Few to Report,07/01/2017,12/01/2019
ANDALUSIA HEALTH,010036,AL,READM-30-PN-HRRP,172,,0.9195,15.0712,16.3905,20,07/01/2017,12/01/2019
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-AMI-HRRP,N/A,,0.9501,15.1320,15.9275,Too Few to Report,07/01/2017,12/01/2019
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-COPD-HRRP,148,,0.9099,16.2704,17.8818,16,07/01/2017,12/01/2019
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-HF-HRRP,85,,1.0714,21.7480,20.2984,23,07/01/2017,12/01/2019
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.1140,4.4838,4.0249,Too Few to Report,07/01/2017,12/01/2019
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-PN-HRRP,N/A,,0.9408,14.8915,15.8282,Too Few to Report,07/01/2017,12/01/2019
HUNTSVILLE HOSPITAL,010039,AL,READM-30-CABG-HRRP,342,,0.9961,12.3049,12.3528,42,07/01/2017,12/01/2019
HUNTSVILLE HOSPITAL,010039,AL,READM-30-AMI-HRRP,920,,0.8899,12.6793,14.2481,110,07/01/2017,12/01/2019
HUNTSVILLE HOSPITAL,010039,AL,READM-30-COPD-HRRP,847,,1.0742,20.5006,19.0844,180,07/01/2017,12/01/2019
HUNTSVILLE HOSPITAL,010039,AL,READM-30-PN-HRRP,1454,,1.0355,17.0225,16.4395,250,07/01/2017,12/01/2019
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HIP-KNEE-HRRP,1159,,1.2583,4.9953,3.9700,62,07/01/2017,12/01/2019
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HF-HRRP,1382,,0.9998,21.8534,21.8583,302,07/01/2017,12/01/2019
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-AMI-HRRP,202,,1.1036,17.8658,16.1880,42,07/01/2017,12/01/2019
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-CABG-HRRP,N/A,,0.8964,12.2005,13.6106,Too Few to Report,07/01/2017,12/01/2019
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-COPD-HRRP,247,,1.0553,21.4951,20.3689,58,07/01/2017,12/01/2019
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HF-HRRP,336,,1.0854,26.2879,24.2194,94,07/01/2017,12/01/2019
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HIP-KNEE-HRRP,316,,0.9408,4.1409,4.4014,12,07/01/2017,12/01/2019
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-PN-HRRP,472,,1.0165,17.9698,17.6782,86,07/01/2017,12/01/2019
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-COPD-HRRP,85,,0.9915,17.3235,17.4728,14,07/01/2017,12/01/2019
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-PN-HRRP,121,,0.9792,13.5845,13.8733,15,07/01/2017,12/01/2019
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HF-HRRP,N/A,,0.9335,16.1015,17.2481,Too Few to Report,07/01/2017,12/01/2019
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HF-HRRP,N/A,,0.9620,20.3461,21.1500,Too Few to Report,07/01/2017,12/01/2019
FAYETTE MEDICAL CENTER,010045,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
FAYETTE MEDICAL CENTER,010045,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
FAYETTE MEDICAL CENTER,010045,AL,READM-30-COPD-HRRP,51,,1.0137,19.2305,18.9710,11,07/01/2017,12/01/2019
FAYETTE MEDICAL CENTER,010045,AL,READM-30-PN-HRRP,83,,0.9876,15.5044,15.6990,12,07/01/2017,12/01/2019
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-COPD-HRRP,201,,0.9583,18.7799,19.5974,34,07/01/2017,12/01/2019
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-AMI-HRRP,51,,1.0871,17.6577,16.2427,14,07/01/2017,12/01/2019
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9170,4.3119,4.7022,Too Few to Report,07/01/2017,12/01/2019
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HF-HRRP,261,,0.9814,22.7033,23.1332,58,07/01/2017,12/01/2019
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-PN-HRRP,278,,1.0798,19.2176,17.7971,59,07/01/2017,12/01/2019
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-PN-HRRP,139,,1.0605,15.0557,14.1965,25,07/01/2017,12/01/2019
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-COPD-HRRP,118,,0.9575,15.7819,16.4830,15,07/01/2017,12/01/2019
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HF-HRRP,88,,1.0350,20.2087,19.5245,20,07/01/2017,12/01/2019
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0028,4.0983,4.0870,Too Few to Report,07/01/2017,12/01/2019
GREENE COUNTY HOSPITAL,010051,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
GREENE COUNTY HOSPITAL,010051,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
GREENE COUNTY HOSPITAL,010051,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
GREENE COUNTY HOSPITAL,010051,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-PN-HRRP,57,,1.0384,16.4191,15.8114,12,07/01/2017,12/01/2019
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-COPD-HRRP,N/A,,1.0057,20.2176,20.1040,Too Few to Report,07/01/2017,12/01/2019
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
FLOWERS HOSPITAL,010055,AL,READM-30-HIP-KNEE-HRRP,451,,1.0785,4.1375,3.8365,20,07/01/2017,12/01/2019
FLOWERS HOSPITAL,010055,AL,READM-30-CABG-HRRP,N/A,,0.9755,11.0429,11.3203,Too Few to Report,07/01/2017,12/01/2019
FLOWERS HOSPITAL,010055,AL,READM-30-COPD-HRRP,256,,0.9919,18.6382,18.7909,47,07/01/2017,12/01/2019
FLOWERS HOSPITAL,010055,AL,READM-30-AMI-HRRP,262,,0.9726,13.9659,14.3592,35,07/01/2017,12/01/2019
FLOWERS HOSPITAL,010055,AL,READM-30-HF-HRRP,433,,1.0019,21.2189,21.1794,92,07/01/2017,12/01/2019
FLOWERS HOSPITAL,010055,AL,READM-30-PN-HRRP,411,,0.9432,14.3713,15.2368,55,07/01/2017,12/01/2019
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-COPD-HRRP,218,,0.9938,19.0612,19.1801,41,07/01/2017,12/01/2019
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-HF-HRRP,378,,0.9933,20.7525,20.8934,78,07/01/2017,12/01/2019
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-PN-HRRP,468,,0.9897,15.5416,15.7038,72,07/01/2017,12/01/2019
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-AMI-HRRP,179,,1.0177,16.1800,15.8984,30,07/01/2017,12/01/2019
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-HIP-KNEE-HRRP,1244,,0.8284,2.9992,3.6205,34,07/01/2017,12/01/2019
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-CABG-HRRP,80,,1.0771,14.2014,13.1847,13,07/01/2017,12/01/2019
BIBB MEDICAL CENTER,010058,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
