facility_id,facility_name,full_address,location,point,latitude,longitude,altitude
010023,BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD MONTGOMERY,AL 36116","Palmetto Health Baptist, Taylor Street at Marion Street, 29220, Taylor Street at Marion Street, Columbia, SC, United States","(34.00743815, -81.0335316424086, 0.0)",34.00743815,-81.0335316424086,0.0
010024,JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET MONTGOMERY,AL 36106","vishwas ayrvedic clinic,Hosanna mulitispeciality Hospital, India","(8.955238099999999, 76.66988100913014, 0.0)",8.955238099999999,76.66988100913014,0.0
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,"2000 PEPPERELL PARKWAY OPELIKA,AL 36801",,,,,
010033,UNIVERSITY OF ALABAMA HOSPITAL,"619 SOUTH 19TH STREET BIRMINGHAM,AL 35233","University of Alabama Hospital Heliport, 5th Avenue South, 35212, 5th Avenue South, Birmingham, AL, United States","(33.5067338, -86.80326835, 0.0)",33.5067338,-86.80326835,0.0
010034,COMMUNITY HOSPITAL INC,"805 FRIENDSHIP ROAD TALLASSEE,AL 36078","Glenelg Community Hospital Inc, Patawilya Grove, 5045, Patawilya Grove, City of Holdfast Bay, South Australia, Australia","(-34.9899751, 138.5122303, 0.0)",-34.9899751,138.5122303,0.0
010035,CULLMAN REGIONAL MEDICAL CENTER,"1912 ALABAMA HIGHWAY 157 CULLMAN,AL 35058","Cullman Regional Medical Center Heliport, Kress Street, 35055, Kress Street, Cullman, Alabama, United States","(34.2019849, -86.8065028, 0.0)",34.2019849,-86.8065028,0.0
010036,ANDALUSIA HEALTH,"849 SOUTH THREE NOTCH STREET ANDALUSIA,AL 36420","Health Centre, Calle Almería, 04271, Calle Almería, Lubrín, Andalucía, España","(37.2140908, -2.0656924, 0.0)",37.2140908,-2.0656924,0.0
010038,STRINGFELLOW MEMORIAL HOSPITAL,"301 EAST 18TH ST ANNISTON,AL 36201","Babu memorial hospital, Babu memorial hospital, athikayam, 689711, athikayam, ranni, Kerala, India","(9.3882289, 76.8451317, 0.0)",9.3882289,76.8451317,0.0
010039,HUNTSVILLE HOSPITAL,"101 SIVLEY RD HUNTSVILLE,AL 35801","Huntsville Memorial Hospital Heliport, Memorial Hospital Drive, 77341, Memorial Hospital Drive, Huntsville, TX, United States","(30.69822735, -95.55796418530437, 0.0)",30.69822735,-95.55796418530437,0.0
010040,GADSDEN REGIONAL MEDICAL CENTER,"1007 GOODYEAR AVENUE GADSDEN,AL 35903","Gadsden Regional Medical Center Heliport, Goodyear Avenue, 35903, Goodyear Avenue, Gadsden, Alabama, United States","(34.0083351, -85.9651642502738, 0.0)",34.0083351,-85.9651642502738,0.0
010044,MARION REGIONAL MEDICAL CENTER,"1256 MILITARY STREET SOUTH HAMILTON,AL 35570","Landstuhl Regional Medical Center, Gorgas Avenue, 66849, Gorgas Avenue, Landstuhl, Rheinland-Pfalz, Deutschland","(49.4042184, 7.5602942, 0.0)",49.4042184,7.5602942,0.0
010045,FAYETTE MEDICAL CENTER,"1653 TEMPLE AVENUE NORTH FAYETTE,AL 35555","Medical Center Boulevard, 37334-2675, Fayetteville, Tennessee, United States","(35.1484664, -86.5562991, 0.0)",35.1484664,-86.5562991,0.0
010046,RIVERVIEW REGIONAL MEDICAL CENTER,"600 SOUTH THIRD STREET GADSDEN,AL 35901","Landstuhl Regional Medical Center, Gorgas Avenue, 66849, Gorgas Avenue, Landstuhl, Rheinland-Pfalz, Deutschland","(49.4042184, 7.5602942, 0.0)",49.4042184,7.5602942,0.0
010049,MEDICAL CENTER ENTERPRISE,"400 N EDWARDS STREET ENTERPRISE,AL 36330","Lakewood Ranch Medical Center Helistop, Enterprise Circle, 34201, Enterprise Circle, Florida, United States","(27.39004195, -82.43544315, 0.0)",27.39004195,-82.43544315,0.0
010051,GREENE COUNTY HOSPITAL,"509 WILSON AVENUE EUTAW,AL 35462","Hospitality Drive, 45385, Xenia, Ohio, United States","(39.6901217, -83.9661929, 0.0)",39.6901217,-83.9661929,0.0
010052,LAKE MARTIN COMMUNITY HOSPITAL,"201 MARIARDEN ROAD DADEVILLE,AL 36853","Lake Martin Community Hospital Heliport, Mariarden Road, 36853, Mariarden Road, Dadeville, Alabama, United States","(32.8184896, -85.74150265, 0.0)",32.8184896,-85.74150265,0.0
010055,FLOWERS HOSPITAL,"4370 WEST MAIN STREET DOTHAN,AL 36305","Flowers Hospital, North Woodburn Drive, 36305, North Woodburn Drive, Alabama, United States","(31.2375944, -85.45669054969143, 0.0)",31.2375944,-85.45669054969143,0.0
010056,ST VINCENT'S BIRMINGHAM,"810 ST VINCENT'S DRIVE BIRMINGHAM,AL 35205","St Vincent Street, B16, Birmingham, England, United Kingdom","(52.4790635, -1.9196347, 0.0)",52.4790635,-1.9196347,0.0
010058,BIBB MEDICAL CENTER,"208 PIERSON AVE CENTREVILLE,AL 35042","Medical Center Drive, 35042, Centreville, Alabama, United States","(32.9510284, -87.1464612, 0.0)",32.9510284,-87.1464612,0.0
010059,LAWRENCE MEDICAL CENTER,"202 HOSPITAL STREET MOULTON,AL 35650","Medical Center Boulevard, 30043:30096, Georgia, United States","(33.9652397, -84.0131139, 0.0)",33.9652397,-84.0131139,0.0
010061,HIGHLANDS MEDICAL CENTER,"380 WOODS COVE ROAD SCOTTSBORO,AL 35768","Medical Center Avenue, 33870, Sebring, Florida, United States","(27.467107, -81.433738, 0.0)",27.467107,-81.433738,0.0
010062,WIREGRASS MEDICAL CENTER,"1200 W MAPLE AVENUE GENEVA,AL 36340","Centers for Medicare & Medicaid Services, Woodlawn, Maryland, United States","(39.31812535, -76.76424986214745, 0.0)",39.31812535,-76.76424986214745,0.0
010065,RUSSELL MEDICAL CENTER,"3316 HIGHWAY 280 ALEXANDER CITY,AL 35010","Russell County Medical Center Heliport, Caroll Street, 24266, Caroll Street, Lebanon, Virginia, United States","(36.89827235, -82.0784658, 0.0)",36.89827235,-82.0784658,0.0
010069,MEDICAL CENTER BARBOUR,"820 W WASHINGTON ST EUFAULA,AL 36027","Medical Center Barbour Heliport, Macon Street, 36027, Macon Street, Eufaula, Alabama, United States","(31.88944165, -85.1562112, 0.0)",31.88944165,-85.1562112,0.0
010073,CLAY COUNTY HOSPITAL,"83825 HIGHWAY 9    P O BOX 1270 ASHLAND,AL 36251","Hospital Drive, 64089, Smithville, Missouri, United States","(39.3781784, -94.5818307, 0.0)",39.3781784,-94.5818307,0.0
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,"400 EAST 10TH STREET ANNISTON,AL 36207","Vaughan Regional Medical Center Heliport, Medical Center Parkway, 36701, Medical Center Parkway, Selma, Alabama, United States","(32.42867165, -87.05700584687878, 0.0)",32.42867165,-87.05700584687878,0.0
010079,ATHENS LIMESTONE HOSPITAL,"700 WEST MARKET STREET ATHENS,AL 35611","Athens Hospital Helipad, Fitness Way, 35611, Fitness Way, Athens, AL, United States","(34.802779650000005, -86.98061980095946, 0.0)",34.802779650000005,-86.98061980095946,0.0
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,"1613 NORTH MCKENZIE STREET FOLEY,AL 36535","South Baldwin Medical Center Urgent Care Walk-in Center, East 15th Avenue, 36542, East 15th Avenue, Gulf Shores, AL, United States","(30.2679564, -87.6879057, 0.0)",30.2679564,-87.6879057,0.0
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,"1201 7TH STREET SE DECATUR,AL 35601","Decatur Morgan Hospital, Runnymeade Avenue, 35601, Runnymeade Avenue, Decatur, Alabama, United States","(34.576872300000005, -87.01557507690609, 0.0)",34.576872300000005,-87.01557507690609,0.0
010086,NORTHWEST MEDICAL CENTER,"1530 U S HIGHWAY 43 WINFIELD,AL 35594","University of Washington Medical Center - Northwest, Burke Avenue North, 98133, Burke Avenue North, Seattle, Washington, United States","(47.713877350000004, -122.33714440249935, 0.0)",47.713877350000004,-122.33714440249935,0.0
010087,USA HEALTH UNIVERSITY HOSPITAL,"2451 FILLINGIM STREET MOBILE,AL 36617","USA Health University Hospital, USA Medical Center Drive, 36607, USA Medical Center Drive, Mobile, Alabama, United States","(30.7070954, -88.09828290052609, 0.0)",30.7070954,-88.09828290052609,0.0
010089,WALKER BAPTIST MEDICAL CENTER,"3400 HIGHWAY 78 EAST JASPER,AL 35502","Walker Baptist Medical Center Helipad, 3rd Street Northeast, 35509, 3rd Street Northeast, Jasper, Alabama, United States","(33.84401715, -87.23668097195801, 0.0)",33.84401715,-87.23668097195801,0.0
010090,PROVIDENCE HOSPITAL,"6801 AIRPORT BOULEVARD MOBILE,AL 36608","Hospital Trust Building, Memorial Boulevard, 02903, Memorial Boulevard, Providence, Rhode Island, United States","(41.82557335, -71.4096393045557, 0.0)",41.82557335,-71.4096393045557,0.0
010091,GROVE HILL MEMORIAL HOSPITAL,"295 JACKSON HWY S GROVE HILL,AL 36451","Grafton State Hospital Memorial Cemetery, United States","(42.2521435, -71.68530616825345, 0.0)",42.2521435,-71.68530616825345,0.0
010092,DCH REGIONAL MEDICAL CENTER,"809 UNIVERSITY BOULEVARD EAST TUSCALOOSA,AL 35401","DCH Regional Medical Center, University Boulevard East, 35401, University Boulevard East, Tuscaloosa, Alabama, United States","(33.2048682, -87.5265102, 0.0)",33.2048682,-87.5265102,0.0
010095,HALE COUNTY HOSPITAL,"508 GREEN STREET GREENSBORO,AL 36744","James A Haley Veterans Hospital Heliport, Future Veterans' Boardwalk, 33613-4628, Future Veterans' Boardwalk, Florida, United States","(28.062433849999998, -82.43063455616797, 0.0)",28.062433849999998,-82.43063455616797,0.0
010097,ELMORE COMMUNITY HOSPITAL,"500 HOSPITAL DRIVE WETUMPKA,AL 36092","Community Hospital Heliport, Herrin Hill Road, 36078, Herrin Hill Road, Tallassee, Alabama, United States","(32.5334448, -85.9116995, 0.0)",32.5334448,-85.9116995,0.0
010099,D W MCMILLAN MEMORIAL HOSPITAL,"1301 BELLEVILLE AVENUE BREWTON,AL 36426","東華三院盧幹庭紀念中學 Tung Wah Group of Hospitals Lo Kon Ting Memorial College, 朗屏路 Long Ping Road, 朗屏路 Long Ping Road, 元朗 Yuen Long, 香港 Hong Kong, 中国","(22.44933555, 114.02191174092944, 0.0)",22.44933555,114.02191174092944,0.0
010100,THOMAS HOSPITAL,"750 MORPHY AVENUE FAIRHOPE,AL 36532","St Thomas' Hospital, Westminster Bridge Road, SE1 7EH, Westminster Bridge Road, London, England, United Kingdom","(51.49906445, -0.11869021253163324, 0.0)",51.49906445,-0.11869021253163324,0.0
010101,CITIZENS BAPTIST MEDICAL CENTER,"604 STONE AVENUE TALLADEGA,AL 35161","Palmetto Health Baptist, Taylor Street at Marion Street, 29220, Taylor Street at Marion Street, Columbia, SC, United States","(34.00743815, -81.0335316424086, 0.0)",34.00743815,-81.0335316424086,0.0
010102,J PAUL JONES HOSPITAL,"317 MCWILLIAMS AVENUE CAMDEN,AL 36726","John Paul Jones Park, United States","(40.61100155, -74.03385628649725, 0.0)",40.61100155,-74.03385628649725,0.0
010103,PRINCETON BAPTIST MEDICAL CENTER,"701 PRINCETON AVENUE SOUTHWEST BIRMINGHAM,AL 35211","Baptist Medical Center-Princeton Heliport, Tuscaloosa Avenue, 35211, Tuscaloosa Avenue, Birmingham, AL, United States","(33.4976393, -86.84650619281479, 0.0)",33.4976393,-86.84650619281479,0.0
010104,GRANDVIEW MEDICAL CENTER,"3690 GRANDVIEW PARKWAY BIRMINGHAM,AL 35243","Grandview Medical Center, North Euclid Street, 98930, North Euclid Street, Grandview, Washington, United States","(46.25948545, -119.91617242825345, 0.0)",46.25948545,-119.91617242825345,0.0
010108,PRATTVILLE BAPTIST HOSPITAL,"124 S MEMORIAL DR PRATTVILLE,AL 36067","Prattville Baptist Hospital, Gillespie Street, 36067, Gillespie Street, Prattville, Alabama, United States","(32.46356925, -86.45180423392551, 0.0)",32.46356925,-86.45180423392551,0.0
010110,BULLOCK COUNTY HOSPITAL,"102 WEST CONECUH AVENUE UNION SPRINGS,AL 36089","Bulloch County, Georgia, United States","(32.3846338, -81.744832, 0.0)",32.3846338,-81.744832,0.0
010112,WHITFIELD REGIONAL HOSPITAL,"105 HIGHWAY 80 EAST DEMOPOLIS,AL 36732","Whitfield, Cairns Regional, Queensland, Australia","(-16.9036475, 145.7256116, 0.0)",-16.9036475,145.7256116,0.0
010113,MOBILE INFIRMARY MEDICAL CENTER,"5 MOBILE INFIRMARY CIRCLE MOBILE,AL 36607","Medical Center Road, 21638, Grasonville, Maryland, United States","(38.9635743, -76.2187192, 0.0)",38.9635743,-76.2187192,0.0
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST BESSEMER,AL 35021",,,,,
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,"1015 MEDICAL CENTER PARKWAY SELMA,AL 36701","Vaughan Regional Medical Center Heliport, Medical Center Parkway, 36701, Medical Center Parkway, Selma, Alabama, United States","(32.42867165, -87.05700584687878, 0.0)",32.42867165,-87.05700584687878,0.0
010120,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE MONROEVILLE,AL 36460","Waterloo Animal Hospital, Waterloo, Illinois, United States","(38.3319294, -90.15733338675454, 0.0)",38.3319294,-90.15733338675454,0.0
010125,LAKELAND COMMUNITY HOSPITAL,"42024 HIGHWAY 195 E HALEYVILLE,AL 35565","Lakeland Community Hospital Heliport, Layne Hill Road, 35565, Layne Hill Road, Haleyville, AL, United States","(34.24235925, -87.59227369999999, 0.0)",34.24235925,-87.59227369999999,0.0
010126,TROY REGIONAL MEDICAL CENTER,"1330 HIGHWAY 231 SOUTH TROY,AL 36081","Landstuhl Regional Medical Center, Gorgas Avenue, 66849, Gorgas Avenue, Landstuhl, Rheinland-Pfalz, Deutschland","(49.4042184, 7.5602942, 0.0)",49.4042184,7.5602942,0.0
010128,JACKSON MEDICAL CENTER,"220 HOSPITAL DRIVE JACKSON,AL 36545","Portland VA Medical Center, Southwest United States Veterans Hospital Road, 97239, Southwest United States Veterans Hospital Road, Portland, Oregon, United States","(45.496464399999994, -122.68287917483792, 0.0)",45.496464399999994,-122.68287917483792,0.0
010129,NORTH BALDWIN INFIRMARY,"1815 HAND AVENUE BAY MINETTE,AL 36507","Baldwinholme, CA5 6LJ, Carlisle, England, United Kingdom","(54.8583158, -3.0340567, 0.0)",54.8583158,-3.0340567,0.0
010130,ST VINCENT'S ST CLAIR,"7063 VETERANS PARKWAY PELL CITY,AL 35125","Vincent Drive, 45011, St. Clair Township, Ohio, United States","(39.4664156, -84.5504746, 0.0)",39.4664156,-84.5504746,0.0
010131,CRESTWOOD MEDICAL CENTER,"ONE HOSPITAL DR SE HUNTSVILLE,AL 35801","Centers for Medicare & Medicaid Services, Woodlawn, Maryland, United States","(39.31812535, -76.76424986214745, 0.0)",39.31812535,-76.76424986214745,0.0
010138,HILL HOSPITAL OF SUMTER COUNTY,"751 DERBY DRIVE YORK,AL 36925","Town of Summerhill, 13093, New York, United States","(42.6389592, -76.3257664, 0.0)",42.6389592,-76.3257664,0.0
010139,BROOKWOOD BAPTIST MEDICAL CENTER,"2010 BROOKWOOD MEDICAL CENTER DRIVE BIRMINGHAM,AL 35209","Brookwood Medical Center Drive, 35243, Homewood, Alabama, United States","(33.464776, -86.77226, 0.0)",33.464776,-86.77226,0.0
010144,SPRINGHILL MEDICAL CENTER,"3719 DAUPHIN STREET MOBILE,AL 36608","Springhill Medical Center, E Springhill Dr, 47802, E Springhill Dr, Terre Haute, IN, United States","(39.4122915, -87.4089343, 0.0)",39.4122915,-87.4089343,0.0
010148,EVERGREEN MEDICAL CENTER,"101 CRESTVIEW AVENUE EVERGREEN,AL 36401","Henry Ford Medical Center - Fairlane, Evergreen Road, 48124‑5029, Evergreen Road, Dearborn, Michigan, United States","(42.3196961, -83.22833503463507, 0.0)",42.3196961,-83.22833503463507,0.0
010149,BAPTIST MEDICAL CENTER EAST,"400 TAYLOR ROAD MONTGOMERY,AL 36117","Baptist Medical Center Nalerigu, 93435, Nalerigu, North East Region, Ghana","(10.51589785, -0.36410110438164633, 0.0)",10.51589785,-0.36410110438164633,0.0
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,"29 L V STABLER DRIVE GREENVILLE,AL 36037",,,,,
010157,SHOALS HOSPITAL,"201 WEST AVALON AVENUE MUSCLE SHOALS,AL 35661","Hospitality Center, Technology Drive, 35661-2810, Technology Drive, Muscle Shoals, Alabama, United States","(34.7378944, -87.67762007508772, 0.0)",34.7378944,-87.67762007508772,0.0
010158,RUSSELLVILLE HOSPITAL,"15155 HIGHWAY 43 RUSSELLVILLE,AL 35653","Russellville, 42276, Russellville, Kentucky, United States","(36.8453199, -86.887219, 0.0)",36.8453199,-86.887219,0.0
010164,COOSA VALLEY MEDICAL CENTER,"315 W HICKORY ST SYLACAUGA,AL 35150","Tripler Army Medical Center, Patterson Road, 96859, Patterson Road, Honolulu, HI, United States","(21.3600242, -157.8894948, 0.0)",21.3600242,-157.8894948,0.0
010168,JACK HUGHSTON MEMORIAL HOSPITAL,"4401 RIVER CHASE DRIVE PHENIX CITY,AL 36867","Stonewall Jackson Memorial Hospital, Health Circle, 24450, Health Circle, Lexington, Virginia, United States","(37.7787034, -79.44102839173122, 0.0)",37.7787034,-79.44102839173122,0.0
010169,ATMORE COMMUNITY HOSPITAL,"401 MEDICAL PARK DRIVE ATMORE,AL 36502","Belhaven Hospital Community Garden, United Kingdom","(55.995936150000006, -2.5353648086364027, 0.0)",55.995936150000006,-2.5353648086364027,0.0
010173,ST VINCENT'S CHILTON,"2030 LAY DAM ROAD CLANTON,AL 35045","St Vincents, Ashington Lane, BA22 8ED, Ashington Lane, Ashington, England, United Kingdom","(50.9904028, -2.6267308807965857, 0.0)",50.9904028,-2.6267308807965857,0.0
010174,THOMASVILLE REGIONAL MEDICAL CENTER,"300 MED PARK DRIVE THOMASVILLE,AL 36784","Thomasville Regional Medical Center Heliport, Hutto Road, Hutto Road, Thomasville, Alabama, United States","(31.87581355, -87.74319212526518, 0.0)",31.87581355,-87.74319212526518,0.0
010175,EAMC-LANIER,"4800 48TH STREET VALLEY,AL 36854","EAMC-Lanier Heliport, Medical Park, 36854, Medical Park, Valley, Alabama, United States","(32.82952295, -85.1687184205826, 0.0)",32.82952295,-85.1687184205826,0.0
011300,WASHINGTON COUNTY HOSPITAL,"14600 ST. STEPHENS AVENUE CHATOM,AL 36518","Eastern State Hospital, Maple Street, 99022, Maple Street, Medical Lake, Washington, United States","(47.571022400000004, -117.69747190364322, 0.0)",47.571022400000004,-117.69747190364322,0.0
011302,RED BAY HOSPITAL,"211 HOSPITAL ROAD RED BAY,AL 35582","Hospital Road, 35582, Red Bay, Alabama, United States","(34.457436, -88.145745, 0.0)",34.457436,-88.145745,0.0
011304,CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618 BUTLER,AL 36904","Choctaw General Hospital Heliport, Vanity Fair Lane, 36904, Vanity Fair Lane, Butler, AL, United States","(32.093348399999996, -88.21034205000001, 0.0)",32.093348399999996,-88.21034205000001,0.0
011305,ST VINCENTS BLOUNT,"150 GILBREATH DRIVE ONEONTA,AL 35121","Blountsville, Alabama, United States","(34.0814863, -86.5911027, 0.0)",34.0814863,-86.5911027,0.0
011306,TANNER MEDICAL CENTER-EAST ALABAMA,"1032 MAIN STREET SOUTH WEDOWEE,AL 36278","East Alabama Medical Center Heliport, Pepperell Parkway, 36801:36804, Pepperell Parkway, Opelika, Alabama, United States","(32.63939335, -85.40229829697078, 0.0)",32.63939335,-85.40229829697078,0.0
013300,THE CHILDREN'S HOSPITAL OF ALABAMA,"1600 SEVENTH AVENUE SOUTH BIRMINGHAM,AL 35233","Children's Hospital of the King's Daughters, Brambleton Avenue, 23507, Brambleton Avenue, Norfolk, Virginia, United States","(36.862164750000005, -76.3019781171079, 0.0)",36.862164750000005,-76.3019781171079,0.0
013301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,"1700 CENTER STREET MOBILE,AL 36604","Dimock Community Health Center, Academy Road, 02130-0947, Academy Road, Boston, Massachusetts, United States","(42.3198838, -71.09717446326854, 0.0)",42.3198838,-71.09717446326854,0.0
014000,HILL CREST BEHAVIORAL HEALTH SERVICES,"6869 FIFTH AVENUE SOUTH BIRMINGHAM,AL 35212","Kootenai Health Behavioral Health Services, 83814-9510, Coeur d'Alene, Idaho, United States","(47.6982747, -116.7992944, 0.0)",47.6982747,-116.7992944,0.0
014006,MOUNTAIN VIEW HOSPITAL,"3201 SCENIC HIGHWAY GADSDEN,AL 35902","Mountain View Park, Shongwe Hospital, 1331, Shongwe Hospital, Shongwe Mission, South Africa","(-25.68482035, 31.48756515956734, 0.0)",-25.68482035,31.48756515956734,0.0
014007,BRYCE HOSPITAL,"200 UNIVERSITY BLVD TUSCALOOSA,AL 35401","Bryce Hospital Dam, 35452, United States","(33.2284516, -87.6466758, 0.0)",33.2284516,-87.6466758,0.0
014012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,"201 UNIVERSITY BLVD TUSCALOOSA,AL 35401","Mary Starke Harper Geriatric Psychiatry Center, Harper Court, 35487, Harper Court, Tuscaloosa, Alabama, United States","(33.2191283, -87.53411688479432, 0.0)",33.2191283,-87.53411688479432,0.0
014014,BAYPOINTE BEHAVIORAL HEALTH,"5800 SOUTHLAND DRIVE MOBILE,AL 36693","Behavioral Health Rd., 87358, Pinehill / Ńdíshchííʼ Dah Shizhóód, New Mexico, United States","(34.888144, -108.4163557, 0.0)",34.888144,-108.4163557,0.0
014015,BEACON CHILDREN'S HOSPITAL,"150 HOSPITAL DRIVE LUVERNE,AL 36049","Sheffield Children's Hospital, Western Bank, S10 2TH, Western Bank, Sheffield, England, United Kingdom","(53.38052655, -1.4907278478066508, 0.0)",53.38052655,-1.4907278478066508,0.0
014016,"SANCTUARY AT THE WOODLANDS, THE","1910 CHEROKEE AVENUE, SW CULLMAN,AL 35055","The Sanctuary at Voyager Point, 2172, Liverpool City Council, New South Wales, Australia","(-33.9663625, 150.97368673406362, 0.0)",-33.9663625,150.97368673406362,0.0
014017,EASTPOINTE HOSPITAL,"7400 ROPER LANE DAPHNE,AL 36526","Eastpointe, 48021, Michigan, United States","(42.4683698, -82.9554746, 0.0)",42.4683698,-82.9554746,0.0
014018,UNITY PSYCHIATRIC CARE - HUNTSVILLE,"5315 MILLENIUM DRIVE, NW HUNTSVILLE,AL 35806","Huntsville Drive, 62034, Glen Carbon, Illinois, United States","(38.768126, -89.933937, 0.0)",38.768126,-89.933937,0.0
020001,PROVIDENCE ALASKA MEDICAL CENTER,"3200 PROVIDENCE DRIVE ANCHORAGE,AK 99508","Providence Seward Medical Center Heliport, 1st Avenue, 99664-1195, 1st Avenue, Seward, Alaska, United States","(60.10569935, -149.44629775, 0.0)",60.10569935,-149.44629775,0.0
020006,MAT-SU REGIONAL MEDICAL CENTER,"2500 SOUTH WOODWORTH LOOP PALMER,AK 99645","Mat-Su Regional Medical Center Heliport, East Woodworth Loop, East Woodworth Loop, Alaska, United States","(61.562283300000004, -149.26035440938614, 0.0)",61.562283300000004,-149.26035440938614,0.0
020008,BARTLETT REGIONAL HOSPITAL,"3260 HOSPITAL DR JUNEAU,AK 99801","Bartlett Regional Hospital, Hospital Drive, Hospital Drive, Juneau, AK, United States","(58.32887135, -134.46498908240463, 0.0)",58.32887135,-134.46498908240463,0.0
020012,FAIRBANKS MEMORIAL HOSPITAL,"1650 COWLES STREET FAIRBANKS,AK 99701","Fairbanks Memorial Hospital Heliport, West Cowles Street, 99707, West Cowles Street, Fairbanks, Alaska, United States","(64.83231574999999, -147.7421506, 0.0)",64.83231574999999,-147.7421506,0.0
020017,ALASKA REGIONAL HOSPITAL,"2801 DEBARR ROAD ANCHORAGE,AK 99508","Alaska Regional Hospital Heliport, Merrill Field Drive, 99508, Merrill Field Drive, Anchorage, Alaska, United States","(61.21269735, -149.82661269806047, 0.0)",61.21269735,-149.82661269806047,0.0
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,"PO BOX 287 BETHEL,AK 99559",,,,,
020024,CENTRAL PENINSULA GENERAL HOSPITAL,"250 HOSPITAL PLACE SOLDOTNA,AK 99669","Singapore General Hospital, Tiong Poh Road, 169715, Tiong Poh Road, Singapore, Singapore","(1.27944885, 103.83628049727403, 0.0)",1.27944885,103.83628049727403,0.0
