"Facility Name","Facility ID","State","Fiscal Year","PSI 90 Start Date","PSI 90 End Date","PSI 90 W Z Score","PSI 90 Footnote","CLABSI W Z Score","CLABSI Footnote","CAUTI W Z Score","CAUTI Footnote","SSI W Z Score","SSI Footnote","MRSA W Z Score","MRSA Footnote","CDI W Z Score","CDI Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Footnote","Payment Reduction","Payment Reduction Footnote"
CHEROKEE MEDICAL CENTER,010022,AL,2022,07/01/2018,12/31/2019,0.0571,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.8022,,No,
BAPTIST MEDICAL CENTER SOUTH,010023,AL,2022,07/01/2018,12/31/2019,2.2779,,0.3172,,0.8253,,1.0437,,1.2217,,0.8695,,01/01/2019,12/31/2019,1.0925,,Yes,
JACKSON HOSPITAL & CLINIC INC,010024,AL,2022,07/01/2018,12/31/2019,-1.2719,,0.8704,,0.8011,,-1.0597,,1.2414,,0.6883,,01/01/2019,12/31/2019,0.2116,,No,
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,2022,07/01/2018,12/31/2019,-1.4437,,-1.2914,,-1.0811,,0.1587,,-0.6973,,-0.0335,,01/01/2019,12/31/2019,-0.7314,,No,
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,2022,07/01/2018,12/31/2019,2.3958,,-0.0982,,-0.4919,,-0.2846,,0.5617,,-0.2608,,01/01/2019,12/31/2019,0.3036,,Yes,
COMMUNITY HOSPITAL INC,010034,AL,2022,07/01/2018,12/31/2019,-0.0152,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.8383,,No,
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,2022,07/01/2018,12/31/2019,-0.2751,,-1.2914,,-0.2948,,-0.2626,,-0.1001,,-1.4465,,01/01/2019,12/31/2019,-0.6117,,No,
ANDALUSIA HEALTH,010036,AL,2022,07/01/2018,12/31/2019,-0.4210,,N/A,5,-1.4169,,N/A,5,N/A,5,-0.4021,,01/01/2019,12/31/2019,-0.7467,,No,
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,2022,07/01/2018,12/31/2019,1.2932,,N/A,5,0.4291,,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,0.0203,,No,
HUNTSVILLE HOSPITAL,010039,AL,2022,07/01/2018,12/31/2019,-0.0943,,0.3388,,-0.3713,,-0.4708,,0.9419,,-0.1687,,01/01/2019,12/31/2019,0.0293,,No,
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,2022,07/01/2018,12/31/2019,-0.7373,,0.5574,,-1.1032,,-1.3575,,0.2981,,-1.3482,,01/01/2019,12/31/2019,-0.6151,,No,
MARION REGIONAL MEDICAL CENTER,010044,AL,2022,07/01/2018,12/31/2019,0.0323,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0323,,No,
FAYETTE MEDICAL CENTER,010045,AL,2022,07/01/2018,12/31/2019,-0.0945,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,-0.0945,,No,
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,2022,07/01/2018,12/31/2019,-0.9287,,-0.5019,,-1.4169,,0.0233,,N/A,5,-0.6755,,01/01/2019,12/31/2019,-0.6999,,No,
MEDICAL CENTER ENTERPRISE,010049,AL,2022,07/01/2018,12/31/2019,-0.5761,,N/A,5,-1.4169,,0.5784,,N/A,5,0.9279,,01/01/2019,12/31/2019,-0.1217,,No,
GREENE COUNTY HOSPITAL,010051,AL,2022,07/01/2018,12/31/2019,0.0983,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0983,,No,
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,2022,07/01/2018,12/31/2019,-0.0086,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,-0.0086,,No,
FLOWERS HOSPITAL,010055,AL,2022,07/01/2018,12/31/2019,-1.3659,,-0.8425,,0.2441,,-0.9869,,-0.7296,,-0.5158,,01/01/2019,12/31/2019,-0.6994,,No,
ST VINCENT'S BIRMINGHAM,010056,AL,2022,07/01/2018,12/31/2019,-0.1039,,0.2365,,-0.3753,,-0.7145,,-0.4731,,-0.4451,,01/01/2019,12/31/2019,-0.3126,,No,
BIBB MEDICAL CENTER,010058,AL,2022,07/01/2018,12/31/2019,0.0364,,N/A,5,N/A,5,N/A,5,N/A,5,2.0828,,01/01/2019,12/31/2019,1.0596,,Yes,
LAWRENCE MEDICAL CENTER,010059,AL,2022,07/01/2018,12/31/2019,-0.0301,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,-0.0301,,No,
HIGHLANDS MEDICAL CENTER,010061,AL,2022,07/01/2018,12/31/2019,-0.3707,,N/A,5,N/A,5,N/A,5,N/A,5,-0.9796,,01/01/2019,12/31/2019,-0.6751,,No,
WIREGRASS MEDICAL CENTER,010062,AL,2022,07/01/2018,12/31/2019,-0.2129,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.9372,,No,
RUSSELL MEDICAL CENTER,010065,AL,2022,07/01/2018,12/31/2019,-0.4341,,N/A,5,-1.4169,,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-1.1708,,No,
MEDICAL CENTER BARBOUR,010069,AL,2022,07/01/2018,12/31/2019,1.5192,,N/A,5,N/A,5,N/A,5,N/A,5,0.5869,,01/01/2019,12/31/2019,1.0531,,Yes,
CLAY COUNTY HOSPITAL,010073,AL,2022,07/01/2018,12/31/2019,1.7225,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,1.7225,,Yes,
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,010078,AL,2022,07/01/2018,12/31/2019,0.6097,,1.9513,,1.1832,,-0.2626,,1.4405,,0.6606,,01/01/2019,12/31/2019,0.9305,,Yes,
ATHENS LIMESTONE HOSPITAL,010079,AL,2022,07/01/2018,12/31/2019,0.5273,,N/A,5,1.9413,,-0.2965,,N/A,5,0.7128,,01/01/2019,12/31/2019,0.7213,,Yes,
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,2022,07/01/2018,12/31/2019,0.5787,,-1.2914,,-0.8056,,N/A,5,1.7131,,-0.6233,,01/01/2019,12/31/2019,-0.0857,,No,
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,010085,AL,2022,07/01/2018,12/31/2019,-0.2557,,2.2860,,-0.2627,,-0.9463,,0.5312,,0.7528,,01/01/2019,12/31/2019,0.3509,,Yes,
NORTHWEST MEDICAL CENTER,010086,AL,2022,07/01/2018,12/31/2019,-0.1641,,N/A,5,N/A,5,N/A,5,N/A,5,1.5575,,01/01/2019,12/31/2019,0.6967,,Yes,
USA HEALTH UNIVERSITY HOSPITAL,010087,AL,2022,07/01/2018,12/31/2019,-0.7321,,0.1341,,-0.7674,,-0.3760,,-0.6005,,-0.0489,,01/01/2019,12/31/2019,-0.3985,,No,
WALKER BAPTIST MEDICAL CENTER,010089,AL,2022,07/01/2018,12/31/2019,0.3878,,0.1951,,-0.8398,,-1.3575,,0.2747,,-0.9980,,01/01/2019,12/31/2019,-0.3896,,No,
PROVIDENCE HOSPITAL,010090,AL,2022,07/01/2018,12/31/2019,-1.1221,,-0.1691,,-1.4169,,-0.9852,,-0.6812,,0.1108,,01/01/2019,12/31/2019,-0.7106,,No,
GROVE HILL MEMORIAL HOSPITAL,010091,AL,2022,07/01/2018,12/31/2019,0.0675,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0675,,No,
DCH REGIONAL MEDICAL CENTER,010092,AL,2022,07/01/2018,12/31/2019,0.8075,,-0.0175,,0.2763,,0.0403,,1.7490,,0.5623,,01/01/2019,12/31/2019,0.5696,,Yes,
HALE COUNTY HOSPITAL,010095,AL,2022,07/01/2018,12/31/2019,0.0247,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0247,,No,
ELMORE COMMUNITY HOSPITAL,010097,AL,2022,07/01/2018,12/31/2019,0.0524,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0524,,No,
D W MCMILLAN MEMORIAL HOSPITAL,010099,AL,2022,07/01/2018,12/31/2019,-0.0093,,N/A,5,N/A,5,N/A,5,N/A,5,-0.2148,,01/01/2019,12/31/2019,-0.1120,,No,
THOMAS HOSPITAL,010100,AL,2022,07/01/2018,12/31/2019,-0.1696,,-0.2774,,-0.2164,,-0.2593,,0.8773,,-0.5311,,01/01/2019,12/31/2019,-0.0961,,No,
CITIZENS BAPTIST MEDICAL CENTER,010101,AL,2022,07/01/2018,12/31/2019,0.0697,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.7959,,No,
J PAUL JONES HOSPITAL,010102,AL,2022,07/01/2018,12/31/2019,0.0908,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0908,,No,
PRINCETON BAPTIST MEDICAL CENTER,010103,AL,2022,07/01/2018,12/31/2019,2.3958,,-0.2597,,-0.7433,,-0.4234,,1.3006,,-0.6601,,01/01/2019,12/31/2019,0.2683,,No,
GRANDVIEW MEDICAL CENTER,010104,AL,2022,07/01/2018,12/31/2019,-0.8824,,-0.6594,,0.5819,,-0.7517,,-0.4821,,-0.1810,,01/01/2019,12/31/2019,-0.3958,,No,
PRATTVILLE BAPTIST HOSPITAL,010108,AL,2022,07/01/2018,12/31/2019,-0.3166,,N/A,5,2.1907,,N/A,5,N/A,5,0.4825,,01/01/2019,12/31/2019,0.7855,,Yes,
BULLOCK COUNTY HOSPITAL,010110,AL,2022,07/01/2018,12/31/2019,0.0685,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0685,,No,
WHITFIELD REGIONAL HOSPITAL,010112,AL,2022,07/01/2018,12/31/2019,0.0124,,N/A,5,N/A,5,N/A,5,N/A,5,2.0090,,01/01/2019,12/31/2019,1.0107,,Yes,
MOBILE INFIRMARY MEDICAL CENTER,010113,AL,2022,07/01/2018,12/31/2019,0.9679,,0.7287,,0.4351,,1.8188,,-0.3530,,-0.8383,,01/01/2019,12/31/2019,0.4599,,Yes,
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",010114,AL,2022,07/01/2018,12/31/2019,0.0596,,-0.2242,,0.1033,,-0.5994,,-0.6758,,-1.2222,,01/01/2019,12/31/2019,-0.4264,,No,
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,010118,AL,2022,07/01/2018,12/31/2019,-1.0360,,N/A,5,-1.4169,,N/A,5,N/A,5,-1.2130,,01/01/2019,12/31/2019,-1.2220,,No,
MONROE COUNTY HOSPITAL,010120,AL,2022,07/01/2018,12/31/2019,-0.0054,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,-0.0054,,No,
LAKELAND COMMUNITY HOSPITAL,010125,AL,2022,07/01/2018,12/31/2019,-0.0710,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.8662,,No,
TROY REGIONAL MEDICAL CENTER,010126,AL,2022,07/01/2018,12/31/2019,0.0425,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.8095,,No,
JACKSON MEDICAL CENTER,010128,AL,2022,07/01/2018,12/31/2019,0.0502,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0502,,No,
NORTH BALDWIN INFIRMARY,010129,AL,2022,07/01/2018,12/31/2019,0.0437,,N/A,5,N/A,5,1.9863,,N/A,5,-1.6615,,01/01/2019,12/31/2019,0.1228,,No,
ST VINCENT'S ST CLAIR,010130,AL,2022,07/01/2018,12/31/2019,1.2963,,N/A,5,N/A,5,N/A,5,N/A,5,-0.7584,,01/01/2019,12/31/2019,0.2689,,No,
CRESTWOOD MEDICAL CENTER,010131,AL,2022,07/01/2018,12/31/2019,-0.7049,,2.2860,,-0.8318,,1.6546,,-0.1700,,0.3197,,01/01/2019,12/31/2019,0.4256,,Yes,
HILL HOSPITAL OF SUMTER COUNTY,010138,AL,2022,07/01/2018,12/31/2019,0.1018,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.1018,,No,
BROOKWOOD BAPTIST MEDICAL CENTER,010139,AL,2022,07/01/2018,12/31/2019,-0.3816,,0.4708,,0.5960,,-0.6383,,1.4405,,0.2521,,01/01/2019,12/31/2019,0.2899,,No,
SPRINGHILL MEDICAL CENTER,010144,AL,2022,07/01/2018,12/31/2019,0.2907,,0.8803,,0.1757,,-0.7788,,1.0388,,-0.9612,,01/01/2019,12/31/2019,0.1076,,No,
EVERGREEN MEDICAL CENTER,010148,AL,2022,07/01/2018,12/31/2019,-0.1273,,N/A,5,N/A,5,N/A,5,N/A,5,2.0828,,01/01/2019,12/31/2019,0.9777,,Yes,
BAPTIST MEDICAL CENTER EAST,010149,AL,2022,07/01/2018,12/31/2019,-0.2756,,2.2860,,2.1002,,-0.7043,,1.4082,,0.2675,,01/01/2019,12/31/2019,0.8470,,Yes,
THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,010150,AL,2022,07/01/2018,12/31/2019,0.2699,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.6958,,No,
SHOALS HOSPITAL,010157,AL,2022,07/01/2018,12/31/2019,-0.0721,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.8668,,No,
RUSSELLVILLE HOSPITAL,010158,AL,2022,07/01/2018,12/31/2019,-0.4208,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-1.0412,,No,
COOSA VALLEY MEDICAL CENTER,010164,AL,2022,07/01/2018,12/31/2019,-0.2710,,N/A,5,-1.4169,,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-1.1165,,No,
JACK HUGHSTON MEMORIAL HOSPITAL,010168,AL,2022,07/01/2018,12/31/2019,-1.2136,,N/A,5,N/A,5,N/A,5,N/A,5,2.0828,,01/01/2019,12/31/2019,0.4346,,Yes,
ATMORE COMMUNITY HOSPITAL,010169,AL,2022,07/01/2018,12/31/2019,-0.1956,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.9285,,No,
ST VINCENT'S CHILTON,010173,AL,2022,07/01/2018,12/31/2019,0.0225,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.8195,,No,
THOMASVILLE REGIONAL MEDICAL CENTER,010174,AL,2022,07/01/2018,12/31/2019,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,N/A,5,No,
EAMC-LANIER,010175,AL,2022,07/01/2018,12/31/2019,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,N/A,5,No,
PROVIDENCE ALASKA MEDICAL CENTER,020001,AK,2022,07/01/2018,12/31/2019,0.5398,,0.3566,,0.7810,,1.4549,,-0.4839,,0.6176,,01/01/2019,12/31/2019,0.5443,,Yes,
MAT-SU REGIONAL MEDICAL CENTER,020006,AK,2022,07/01/2018,12/31/2019,-0.0229,,-1.2914,,-1.4169,,-1.3575,,N/A,5,-0.5403,,01/01/2019,12/31/2019,-0.9258,,No,
BARTLETT REGIONAL HOSPITAL,020008,AK,2022,07/01/2018,12/31/2019,1.4780,,N/A,5,N/A,5,N/A,5,N/A,5,-0.3315,,01/01/2019,12/31/2019,0.5733,,Yes,
FAIRBANKS MEMORIAL HOSPITAL,020012,AK,2022,07/01/2018,12/31/2019,2.3958,,N/A,5,1.5774,,1.5548,,N/A,5,-0.7523,,01/01/2019,12/31/2019,1.1939,,Yes,
ALASKA REGIONAL HOSPITAL,020017,AK,2022,07/01/2018,12/31/2019,-1.2460,,-0.2991,,2.1907,,1.3517,,0.1223,,0.0002,,01/01/2019,12/31/2019,0.3533,,Yes,
YUKON KUSKOKWIM DELTA REG HOSPITAL,020018,AK,2022,07/01/2018,12/31/2019,0.0169,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0169,,No,
CENTRAL PENINSULA GENERAL HOSPITAL,020024,AK,2022,07/01/2018,12/31/2019,0.2067,,N/A,5,N/A,5,N/A,5,N/A,5,-0.4697,,01/01/2019,12/31/2019,-0.1315,,No,
ALASKA NATIVE MEDICAL CENTER,020026,AK,2022,07/01/2018,12/31/2019,2.3958,,0.0160,,1.3501,,0.7797,,0.3877,,1.3671,,01/01/2019,12/31/2019,1.0494,,Yes,
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,030002,AZ,2022,07/01/2018,12/31/2019,0.8677,,-0.1278,,-1.1032,,0.7747,,-0.1001,,0.0156,,01/01/2019,12/31/2019,0.0545,,No,
TUCSON MEDICAL CENTER,030006,AZ,2022,07/01/2018,12/31/2019,-0.7731,,0.0947,,0.1436,,-0.5080,,0.4092,,0.2091,,01/01/2019,12/31/2019,-0.0707,,No,
VERDE VALLEY MEDICAL CENTER,030007,AZ,2022,07/01/2018,12/31/2019,-0.2746,,N/A,5,-1.4169,,-0.3219,,N/A,5,0.1016,,01/01/2019,12/31/2019,-0.4779,,No,
ST. MARY'S HOSPITAL,030010,AZ,2022,07/01/2018,12/31/2019,-0.2655,,-1.2914,,0.4794,,-0.1103,,-0.5628,,-1.0318,,01/01/2019,12/31/2019,-0.4637,,No,
ST JOSEPH'S HOSPITAL,030011,AZ,2022,07/01/2018,12/31/2019,-0.4632,,-0.8562,,-0.7835,,-0.1594,,-0.4534,,-0.8844,,01/01/2019,12/31/2019,-0.6000,,No,
YAVAPAI REGIONAL MEDICAL CENTER,030012,AZ,2022,07/01/2018,12/31/2019,1.3424,,-1.2914,,-0.0435,,-1.3575,,1.0190,,0.6391,,01/01/2019,12/31/2019,0.0514,,No,
YUMA REGIONAL MEDICAL CENTER,030013,AZ,2022,07/01/2018,12/31/2019,-0.0638,,-0.0667,,0.0088,,-0.2102,,-0.6991,,0.0125,,01/01/2019,12/31/2019,-0.1698,,No,
JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,030014,AZ,2022,07/01/2018,12/31/2019,0.1728,,-0.3542,,-0.5744,,0.3296,,0.5330,,-0.5741,,01/01/2019,12/31/2019,-0.0779,,No,
BANNER CASA GRANDE MEDICAL CENTER,030016,AZ,2022,07/01/2018,12/31/2019,-0.4587,,-0.3188,,-0.2647,,-1.3575,,-1.4021,,-0.5772,,01/01/2019,12/31/2019,-0.7298,,No,
VALLEYWISE HEALTH MEDICAL CENTER,030022,AZ,2022,07/01/2018,12/31/2019,-0.4598,,1.1599,,-0.0274,,0.6545,,1.3078,,0.4149,,01/01/2019,12/31/2019,0.5083,,Yes,
FLAGSTAFF MEDICAL CENTER,030023,AZ,2022,07/01/2018,12/31/2019,1.5197,,-0.1455,,-0.7795,,0.9100,,-0.5969,,0.4978,,01/01/2019,12/31/2019,0.2343,,No,
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,030024,AZ,2022,07/01/2018,12/31/2019,1.2396,,-0.1179,,-0.2667,,-0.3540,,-0.4839,,0.2153,,01/01/2019,12/31/2019,0.0387,,No,
ABRAZO CENTRAL CAMPUS,030030,AZ,2022,07/01/2018,12/31/2019,1.2848,,-0.0707,,-0.6508,,-1.3575,,-0.4337,,-0.0274,,01/01/2019,12/31/2019,-0.2092,,No,
CHANDLER REGIONAL MEDICAL CENTER,030036,AZ,2022,07/01/2018,12/31/2019,1.0891,,-0.2321,,-0.0274,,0.3652,,-0.3063,,0.7128,,01/01/2019,12/31/2019,0.2669,,No,
ST LUKE'S MEDICAL CENTER,030037,AZ,2022,07/01/2018,12/31/2019,1.2435,,1.2977,,0.2079,,N/A,5,N/A,5,-0.1380,,01/01/2019,12/31/2019,0.6528,,Yes,
HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,030038,AZ,2022,07/01/2018,12/31/2019,-0.2078,,-0.2557,,-0.1038,,-0.1679,,0.2245,,-0.3991,,01/01/2019,12/31/2019,-0.1516,,No,
CANYON VISTA MEDICAL CENTER,030043,AZ,2022,07/01/2018,12/31/2019,-0.8149,,N/A,5,-1.4169,,0.1486,,N/A,5,1.2780,,01/01/2019,12/31/2019,-0.2013,,No,
KINGMAN REGIONAL MEDICAL CENTER,030055,AZ,2022,07/01/2018,12/31/2019,-0.8258,,-0.8976,,-0.6749,,-1.3575,,-1.4021,,-0.8629,,01/01/2019,12/31/2019,-1.0035,,No,
BANNER BOSWELL MEDICAL CENTER,030061,AZ,2022,07/01/2018,12/31/2019,-0.3623,,-0.7932,,-0.4798,,-0.2423,,-0.5108,,0.1999,,01/01/2019,12/31/2019,-0.3648,,No,
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,030062,AZ,2022,07/01/2018,12/31/2019,0.4166,,-1.2914,,0.3929,,-1.3575,,N/A,5,1.8585,,01/01/2019,12/31/2019,0.0038,,No,
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,030064,AZ,2022,07/01/2018,12/31/2019,1.2721,,-0.7145,,-0.8539,,-0.7991,,0.0147,,0.3105,,01/01/2019,12/31/2019,-0.1284,,No,
BANNER DESERT MEDICAL CENTER,030065,AZ,2022,07/01/2018,12/31/2019,-0.3555,,-0.9508,,-0.8137,,-0.1831,,-1.0183,,0.9586,,01/01/2019,12/31/2019,-0.3938,,No,
MT. GRAHAM REGIONAL MEDICAL CENTER,030068,AZ,2022,07/01/2018,12/31/2019,0.2859,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.2859,,No,
HAVASU REGIONAL MEDICAL CENTER,030069,AZ,2022,07/01/2018,12/31/2019,0.5551,,-1.2914,,-1.4169,,N/A,5,-1.4021,,-1.1884,,01/01/2019,12/31/2019,-0.9488,,No,
FORT DEFIANCE INDIAN HOSPITAL,030071,AZ,2022,07/01/2018,12/31/2019,1.4884,,N/A,5,N/A,5,N/A,5,N/A,5,1.6005,,01/01/2019,12/31/2019,1.5444,,Yes,
TUBA CITY REGIONAL HEALTH CARE CORPORATION,030073,AZ,2022,07/01/2018,12/31/2019,-0.7482,,N/A,5,N/A,5,N/A,5,N/A,5,2.0828,,01/01/2019,12/31/2019,0.6673,,Yes,
SELLS HOSPITAL,030074,AZ,2022,07/01/2018,12/31/2019,0.1047,,N/A,5,N/A,5,2.0963,18,N/A,5,N/A,5,01/01/2019,12/31/2019,1.1005,,Yes,
SAN CARLOS APACHE HEALTHCARE CORP,030077,AZ,2022,07/01/2018,12/31/2019,0.1091,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.1091,,No,
PHOENIX INDIAN MEDICAL CENTER,030078,AZ,2022,07/01/2018,12/31/2019,1.8478,,N/A,5,N/A,5,N/A,5,N/A,5,2.0828,,01/01/2019,12/31/2019,1.9653,,Yes,
ABRAZO SCOTTSDALE CAMPUS,030083,AZ,2022,07/01/2018,12/31/2019,0.3622,,-1.2914,,-1.4169,,-1.3575,,N/A,5,-0.3898,,01/01/2019,12/31/2019,-0.8187,,No,
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,030084,AZ,2022,07/01/2018,12/31/2019,-0.0615,,N/A,5,N/A,5,N/A,5,N/A,5,0.5501,,01/01/2019,12/31/2019,0.2443,,No,
NORTHWEST MEDICAL CENTER,030085,AZ,2022,07/01/2018,12/31/2019,-1.3916,,-0.9153,,-0.5060,,-0.2982,,-0.6776,,-0.4574,,01/01/2019,12/31/2019,-0.7077,,No,
HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,030087,AZ,2022,07/01/2018,12/31/2019,-1.3939,,0.1321,,0.3507,,-0.0579,,-0.4785,,-0.3991,,01/01/2019,12/31/2019,-0.3078,,No,
BANNER BAYWOOD MEDICAL CENTER,030088,AZ,2022,07/01/2018,12/31/2019,-0.9938,,-0.5038,,-1.4169,,-0.0122,,-0.3189,,-0.1073,,01/01/2019,12/31/2019,-0.5588,,No,
BANNER THUNDERBIRD MEDICAL CENTER,030089,AZ,2022,07/01/2018,12/31/2019,-0.2680,,0.3920,,0.7468,,1.9558,,-0.9520,,-0.0120,,01/01/2019,12/31/2019,0.3104,,Yes,
HONORHEALTH DEER VALLEY MEDICAL CENTER,030092,AZ,2022,07/01/2018,12/31/2019,-0.3620,,0.1479,,-0.2888,,0.7256,,0.6693,,-0.7615,,01/01/2019,12/31/2019,0.0217,,No,
